ID,AdminCode,RoadRank,RoadType,RoadNo,LinkType,MaxSpeed,LaneNo,R_LinkID,L_LinkID,FromNodeID,ToNodeID,SectionID,Length,ITSLinkID,Maker,UpdateDate,Version,Remark,HistType,HistRemark
A219BS010660,"233","9","1",,"1","60","1",,,A119BS010168,A119BS010246,A319BS010005,21.92,,새한항업컨소시엄,"20191121","2019",,,
A219BS010661,"233","9","1",,"1","60","91",,,A119BS010168,A119BS010237,A319BS010002,26.80,,새한항업컨소시엄,"20191121","2019",,,
A219BS010663,"233","9","1",,"1","60","91",,,A119BS010247,A119BS010694,,18.19,,새한항업컨소시엄,"20191121","2019",,,
A219BS010664,"233","9","1",,"1","60","1",,,A119BS010695,A119BS010696,,24.23,,새한항업컨소시엄,"20191121","2019",,,
A219BS010665,"233","9","1",,"1","60","1",,,A119BS010173,A119BS010696,,13.99,,새한항업컨소시엄,"20191121","2019",,,
A219BS010666,"233","9","1",,"1","60","1",,A219BS010668,A119BS010170,A119BS010266,,18.54,,새한항업컨소시엄,"20191121","2019",,,
A219BS010667,"233","9","1",,"1","60","1",,,A119BS010170,A119BS010249,,14.96,,새한항업컨소시엄,"20191121","2019",,,
A219BS010668,"233","9","1",,"1","60","91",A219BS010670,,A119BS010170,A119BS010244,,17.70,,새한항업컨소시엄,"20191121","2019",,,
A219BS010669,"233","9","1",,"1","60","91",A219BS010670,,A119BS010176,A119BS010242,,20.91,,새한항업컨소시엄,"20191121","2019",,,
A219BS010670,"233","9","1",,"1","60","1",,A219BS010669,A119BS010176,A119BS010244,,22.89,,새한항업컨소시엄,"20191121","2019",,,
A219BS010671,"233","9","1",,"1","60","1",,,A119BS010172,A119BS010249,,22.99,,새한항업컨소시엄,"20191121","2019",,,
A219BS010672,"233","9","1",,"1","60","91",A219BS010671,,A119BS010172,A119BS010266,,19.73,,새한항업컨소시엄,"20191121","2019",,,
A219BS010673,"233","9","1",,"1","60","1",,,A119BS010172,A119BS010242,,10.99,,새한항업컨소시엄,"20191121","2019",,,
A219BS010674,"233","9","1",,"1","60","1",,A219BS010676,A119BS010697,A119BS010242,,18.13,,새한항업컨소시엄,"20191121","2019",,,
A219BS010675,"233","9","1",,"1","60","1",,A219BS010670,A119BS010697,A119BS010244,,12.07,,새한항업컨소시엄,"20191121","2019",,,
A219BS010676,"233","9","1",,"1","60","91",,,A119BS010697,A119BS010249,,21.93,,새한항업컨소시엄,"20191121","2019",,,
A219BS010677,"233","9","1",,"1","60","1",,,A119BS010165,A119BS010232,,21.41,,새한항업컨소시엄,"20191121","2019",,,
A219BS010678,"233","9","1",,"1","60","1",,A219BS010680,A119BS010160,A119BS010243,,27.42,,새한항업컨소시엄,"20191121","2019",,,
A219BS010679,"233","9","1",,"1","60","1",,,A119BS010169,A119BS010232,,28.59,,새한항업컨소시엄,"20191121","2019",,,
A219BS010680,"233","9","1",,"1","60","91",A219BS010678,,A119BS010160,A119BS010239,,27.43,,새한항업컨소시엄,"20191121","2019",,,
A219BS010681,"233","9","1",,"1","60","91",,,A119BS010165,A119BS010243,,26.46,,새한항업컨소시엄,"20191121","2019",,,
A219BS010682,"233","9","1",,"1","60","1",,A219BS010679,A119BS010169,A119BS010239,,21.46,,새한항업컨소시엄,"20191121","2019",,,
A219BS010813,"233","9","1",,"1","60","1",,A219BS010670,A119BS010176,A119BS010266,,15.29,,새한항업컨소시엄,"20191121","2019",,,
A2_remark404,"233","9","1",,"6","0","2",,,A119BS010699,A119BS010703,,88.52,,,,,,,
A2_remark405,"233","9","1",,"6","0","3",,,A119BS010700,A119BS010702,,86.72,,,,,,,
A2_remark408,"233","9","1",,"6","60","2",,,A119BS010704,A119BS010706,,34.58,,,,,,,
A2_remark409,"233","9","1",,"6","60","3",,,A119BS010705,A119BS010283,,33.99,,,,,,,
A2_remark419,"233","9","1",,"6","60","3",,,A119BS010221,A119BS010715,,29.44,,,,,,,
A2_remark420,"233","9","1",,"6","60","4",,,A119BS010711,A119BS010714,,29.51,,,,,,,
A2_remark427,"233","9","1",,"6","60","2",,,A119BS010226,A119BS010294,,58.43,,,,,,,
A2_remark425,"233","9","1",,"6","0","1",,,A119BS010214,A119BS010292,,38.84,,,,,,,
A2_remark415,"233","9","1",,"6","0","1",,,A119BS010214,A119BS010290,,38.89,,,,,,,
A2_remark086,"233","9","1",,"6","0","1",,,A119BS010269,A119BS010272,,65.30,,,,,,,
A2_remark076,"233","9","1",,"6","0","2",,,A119BS010084,A119BS010218,,69.50,,,,,,,
A2_remark422,"233","9","1",,"6","0","2",,,A119BS010284,A119BS010273,,25.48,,,,,,,
A2_remark421,"233","9","1",,"6","0","1",,,A119BS010216,A119BS010275,,25.43,,,,,,,
A2_remark075,"233","9","1",,"6","0","1",,,A119BS010217,A119BS010279,,22.65,,,,,,,
A2_remark096,"233","9","1",,"6","0","2",,,A119BS010285,A119BS010286,,22.46,,,,,,,
A2_remark423,"233","9","1",,"6","60","2",,,A119BS010289,A119BS010288,,14.79,,,,,,,
A2_remark607,"233","9","1",,"1","60","1",,,A119BS010191,A119BS010212,,27.98,,,,,,,
A2_remark090,"233","9","1",,"6","0","1",,,A119BS010186,A119BS010267,,32.99,,,,,,,
A2_remark625,"233","9","1",,"1","60","2",,,A119BS010279,A119BS010280,,33.91,,,,,,,
A2_remark435,"233","9","1",,"6","0","2",,,A119BS010229,A1_remark1,,126.02,,,,,,,
A2_remark111,"233","9","1",,"6","0","2",,,A1_remark1,A119BS010289,,20.67,,,,,,,
A2_remark112,"233","9","1",,"6","0","2",,,A1_remark1,A1_remark2,,36.16,,,,,,,
A2_remark113,"233","9","1",,"6","0","2",,,A1_remark2,A119BS010155,,126.14,,,,,,,
A2_remark114,"233","9","1",,"6","0","2",,,A119BS010224,A119BS010190,,17.99,,,,,,,
A2_remark115,"233","9","1",,"6","0","2",,,A119BS010190,A1_remark2,,16.70,,,,,,,
A2_remark116,"233","9","1",,"6","0","2",,,A119BS010156,A1_remark1,,133.20,,,,,,,
